TLD Systems
Adobe Systems
Clover Network
Collaborative Drug Discovery
Green Hills Software
Human Engineered Software
Kana Software
Kerio Technologies
Yahoo Software
Fortify Software
IntelliCorp (software)
Salesforce.com
Trillium Digital Systems
Kaseya
Talygen Business Intelligence
Voxeet
MadCap Software
One Voice Technologies
Blinkx
Datameer
Parasoft
PivotPoint Technology Corporation
Piazza (Q&A platform)
NovaLogic
Chordiant
Cooliris
Jungo Connectivity
Tacit Software
Anaplan
Arkeia Software
AppDynamics
FinancialForce.com
Gigya
Lieberman Software
Mavenlink
Network Automation
NovaStor
Nsite Software
PathSolutions
Reaction Design
Revolution Analytics
Taleo
Terracotta, Inc.
4INFO
Causata
Addepar
Alteryx
Arrayent
Astera Software
ClearSlide
DreamFactory Software
DreamHammer
Expertus
MetricStream
Nominum
Numecent
Ontraport
PSSC Labs
Panaya
Paxata
Platfora
Range Networks
Ripple (company)
SecureAuth
Strongloop
Xinuos
SurfWatch
Incomit
Visioneer
Sonoma Wire Works
Stockpoint
Engrade
InMarket
Yahoo!
Retail Solutions Inc.
Symphony Teleca
Citrix Online
Databricks
Intacct
Magento
SciTech Software
FinancialContent
Mediante
CollabNet
Quantum3D
Socialtext
Kineto Wireless
Blue Kangaroo
GoGuardian
Instabase
Axibase
Chrome River Technologies
Dorado Software
EON Reality
Hoopla Software
LogicMonitor, Inc.
RW3 Technologies
Revinate
SourceClear
StarMaker Interactive
Xangati
Fieldwire
Kelaroo
IRise
MindTouch
Verix
ACD (claims services company)
AiLive
CIGNEX Datamatics
Guidewire Software
Esri
Amicima
Denodo
Meridian Systems
Sonic Focus
Yodlee
Acrocat Software
Celeris
BatchMaster Software
DemandTec
Design Science (company)
Electric Cloud
Forté Internet Software
Kinoma
Lynx Software Technologies
Qualys
Scopely
Replay Solutions
Seagate Software
BindView
Justin.tv
Eiffel Software
Jive Software
Objective Systems Integrators
Oracle Hyperion
Remedy Corporation
Kofax
MarkLogic
Bomb Factory
CAIS Software
KXEN Inc.
Leadspace
Cofio Software
Mixamo
Forterra Systems
Communications Research Group
Bluebeam Software, Inc.
Iolo Technologies
Siebel Systems
TriTech Software Systems
Petrolsoft Corporation
Sierra Entertainment
Quest Software
DNN Corporation
Guidance Software
Guidance Solutions
TeleSoft
Cosmi Corporation
AVST
GraphPad Software
Solido Design Automation
ArcSight
BigFix Inc
Clarizen
E2open
Fixstars Solutions
GO-Global
LumenVox
Magnifi Group, Inc.
MorphThing
ParAccel
Quantros
Redcort Software
Revolution Prep
SignalDemand
Support.com
Tavant Technologies
Telogis
Truviso
Groxis
UserVoice
Actian
Kickfire
Liquid Engines
MLab
Lever (company)
Moxie Software
Breakthrough Software
Kno
NetManage
Accordent Technologies
ICharts
Adaptive Insights
Sirius Software
BIAS
Democrasoft
Encore, Inc.
Epiphany, Inc.
International Computer Science Institute
Qi hardware
SugarCRM
Aldon Inc.
Daily Journal Corporation
Data Domain (corporation)
Fanfare (company)
Tarantella, Inc.
Tiny Software
Hearsay Social
Proofpoint Systems, Inc
Aha! (company)
Tom Sawyer Software
SugarSync
Ask Ziggy Inc.
PlanGrid
Brightmail
Lagan Technologies
California Pacific Computer Company
MicroProse
Aelita Software Corporation
Pano Logic
Pivotal Software
Luminex Software, Inc.
Trumpia
Elanex
Precise Software
CipherGraph Networks
EEsof
QIAGEN Silicon Valley
Qarbon
Answer Underground
Balsamiq
Connectbeam
Mailroute
OpenGov
TubeMogul
Zoho Corporation
Ness Computing
Corona Labs Inc.
FastSpring
Shopkick
Work4 Labs
Zeobit
IronPort
BioDiscovery
Bunchball
ByWater Solutions
VSee
Granite Horizon
Miva Merchant
SignNow
Sonic Reality
Doximity
EVoice
Britton Lee, Inc.
Mozilla Corporation
Virtutech
Altametrics
BetterWorks
Hipmunk
Ripcord Networks
SIOS Technology Corp.
SalesforceIQ
UniDisc
MontaVista
SonicWall
Inkling
Semantic Research
Adeptol
Coverity
Devicescape
Spectrum Software
Write Brothers
Voxer
Arthas.com
Cape Clear (software company)
Pinnacle Systems
Raw Engineering
RenderX
Condusiv Technologies
Interlink Computer Sciences
TuneIn
LucidEra
Luxology
TippingPoint
SciTegic
TheBrain Technologies
MetaCreations
Altamira Software
BEA Systems
Digital Keystone
DivX, Inc.
GT Nexus
Sorenson Media
Universal Audio (company)
Daintree Networks
Ingram Micro
Keyhole, Inc
Plumtree Software
Serena Software
Accelrys
